kabelnr;strtlat;strtlon;eindlat;eindlon;kab/3;Volt;;heading;length old;length;weerstand/m;resistance;conductivity old;conductivity;radians lat1;radians lon1;radians lat2;radians lon2;diff lat;dif lon;a
64;52.477605;6.149681;52.529782;6.189824;6;380;;25.1;6406.53660879551;30155.0;3.00E-05;0.765;5.20301925498562;1.31;0.915906990811039;0.107332181397337;0.916817651254852;0.108032808918965;0.000455330221907;0.000350313760814;2.52796691779471E-07
65;52.248786;6.757987;52.201575;7.034520;6;380;;-74.5;19553.49935267;22000.0;3.00E-05;0.606;1.70472470078773;1.65;0.911913345869918;0.117949123956974;0.911089358476759;0.122775535297392;-0.00041199369658;0.002413205670209;2.3549052627148E-06
66;52.201575;7.034520;52.281073;7.305580;4;380;;64.3;20463.8716507424;23500.0;3.00E-05;0.686;1.62888694291259;1.46;0.911089358476759;0.122775535297392;0.912476860325509;0.127506424767847;0.000693750924375;0.002365444735228;2.57928915221781E-06
67;52.281073;7.305580;52.475320;7.309452;4;380;;0.7;21600.8799147662;23500.0;3.00E-05;0.686;1.54314701368007;1.46;0.912476860325509;0.127506424767847;0.915867110037631;0.127574003916485;0.001695124856061;3.37895743186128E-05;2.87387098416972E-06
68;52.475320;7.309452;52.981009;7.258131;4;380;;-3.5;56336.1481328476;79000.0;3.00E-05;1.128;0.591686411622059;0.89;0.915867110037631;0.127574003916485;0.924693048078748;0.126678283491069;0.004412969020559;-0.000447860212708;1.95477271308181E-05
69;52.475320;7.309452;52.753240;7.276758;4;380;;-4.1;30982.0248741603;47000.0;3.00E-05;1.304;1.0758926657868;0.77;0.915867110037631;0.127574003916485;0.920717729094773;0.127003385970838;0.002425309528571;-0.000285308972824;5.91212406661884E-06
70;52.753240;7.276758;52.981009;7.258131;4;380;;-2.8;25357.6012693089;20000.0;3.00E-05;0.550;1.31453022623546;1.82;0.920717729094773;0.127003385970838;0.924693048078748;0.126678283491069;0.001987659491987;-0.000162551239884;3.96041377449862E-06
71;52.981009;7.258131;53.126049;7.310705;8;380;;12.3;16506.0600815146;18000.0;3.00E-05;0.484;2.01946031752688;2.07;0.924693048078748;0.126678283491069;0.927224473625841;0.127595872892012;0.001265712773546;0.000458794700472;1.67807512153975E-06
72;52.475320;7.309452;52.281073;7.305580;4;380;;0.7;21600.8799147662;25000.0;3.00E-05;0.739;1.54314701368007;1.35;0.915867110037631;0.127574003916485;0.912476860325509;0.127506424767847;-0.001695124856061;-3.37895743186128E-05;2.87387098416972E-06
73;52.281073;7.305580;52.177427;7.011623;4;380;;60.2;23100.8087777565;25000.0;3.00E-05;0.739;1.44295092236898;1.35;0.912476860325509;0.127506424767847;0.910667896368987;0.122375907258562;-0.000904481978261;-0.002565258754642;3.28684097941853E-06
74;52.177427;7.011623;51.694849;7.055346;4;380;;-3.2;53743.8771557403;61000.0;3.00E-05;1.784;0.620225690765465;0.56;0.910667896368987;0.122375907258562;0.902245321371298;0.123139017567412;-0.004211287498845;0.000381555154425;1.77901746116981E-05
75;52.201575;7.034520;51.694849;7.055346;4;380;;-1.5;56363.4360962234;64000.0;3.00E-05;1.890;0.591399950784172;0.53;0.911089358476759;0.122775535297392;0.902245321371298;0.123139017567412;-0.00442201855273;0.00018174113501;1.95666685525351E-05
76;51.694849;7.055346;51.625446;7.022481;16;380;;16.4;8043.32539523344;8143.3;3.00E-05;0.342;4.14422290475616;2.92;0.902245321371298;0.123139017567412;0.901034010510536;0.122565415108744;-0.000605655430381;-0.000286801229334;3.98470356146918E-07
77;51.625446;7.022481;51.679341;6.883695;8;380;;-57.9;11295.5119843087;14428.3;3.00E-05;0.342;2.95102456441451;2.92;0.901034010510536;0.122565415108744;0.901974655710899;0.120143142453071;0.000470322600181;-0.001211136327836;7.85844333817001E-07
78;51.679341;6.883695;51.647022;6.680221;8;380;;75.7;14486.8892155622;14428.3;3.00E-05;0.342;2.30093105823752;2.92;0.901974655710899;0.120143142453071;0.901410582749947;0.116591851210868;-0.000282036480476;-0.001775645621101;1.29263195944344E-06
79;53.126049;7.310705;53.331938;8.053552;6;380;;64.9;54488.812931081;57000.0;3.00E-05;1.474;0.611746366643999;0.68;0.927224473625841;0.127595872892012;0.93081791456948;0.140560998880574;0.001796720471819;0.006482562994281;1.82867633430453E-05
80;51.148499;5.918134;51.637698;5.909689;3;380;;-0.6;54399.6024595584;57900.0;3.00E-05;1.340;0.61274957584688;0.75;0.892709715003027;0.103290923874222;0.901247848250491;0.103143530818891;0.004269066623732;-7.3696527665465E-05;1.82269336154994E-05
81;51.637698;5.909689;51.815647;5.668981;3;380;;-39.9;25814.4432092243;20850.0;3.00E-05;0.485;1.29126679445181;2.06;0.901247848250491;0.103143530818891;0.904353644201122;0.098942383683001;0.001552897975316;-0.002100573567945;4.10440047065968E-06
